READING_DATETIME,GENERAL_SUPPLY_KWH
2014-01-15,215808.79200000167
2014-01-16,222051.729
2014-01-17,210355.34500000026
2014-01-18,226155.09699999957
2014-01-19,204930.5920000005
2014-01-20,187452.52199999974
2014-01-21,169022.84399999955
2014-01-22,155485.31999999925
2014-01-23,150401.1920000002
2014-01-24,165553.81600000025
2014-01-25,155328.05600000094
2014-01-26,145658.85399999944
2014-01-27,159527.40199999957
2014-01-28,163944.3750000003
2014-01-29,191035.25000000017
2014-01-30,176902.7829999996
2014-01-31,189015.7800000003
2014-02-01,199542.86899999957
2014-02-02,196995.70599999893
2014-02-03,183863.96900000086
2014-02-04,156704.51000000004
2014-02-05,142724.68699999907
2014-02-06,141597.34300000008
2014-02-07,148958.49399999948
2014-02-08,173949.34199999986
2014-02-09,205072.43199999977
2014-02-10,177195.64600000012
2014-02-11,177446.4470000012
2014-02-12,184357.75300000032
2014-02-13,175287.01799999934
2014-02-14,155142.4729999998
2014-02-15,169671.44600000043
2014-02-16,179581.409999999
2014-02-17,152772.23399999895
2014-02-18,154243.46899999984
2014-02-19,170502.36700000011
2014-02-20,162419.67499999926
2014-02-21,149031.43700000053
2014-02-22,153249.1470000007
2014-02-23,155127.70600000094
2014-02-24,154718.03099999996
2014-02-25,158296.0669999995
2014-02-26,177579.82499999937
2014-02-27,158076.67499999984
2014-02-28,147847.69300000032
2014-03-01,152902.0100000004
2014-03-02,154846.34999999986
2014-03-03,43678.446999999964
2014-03-04,355.08699999999976
